iter	Passed	Remaining
422	2137	2915
423	2142	2909
424	2147	2905
425	2152	2900
426	2157	2894
427	2162	2889
428	2168	2885
429	2173	2881
430	2178	2875
431	2183	2870
432	2188	2865
433	2192	2859
434	2196	2853
435	2201	2848
436	2206	2843
437	2212	2838
438	2217	2833
439	2222	2828
440	2227	2823
441	2232	2817
442	2236	2812
443	2241	2806
444	2245	2800
445	2250	2795
446	2255	2790
447	2259	2784
448	2264	2779
449	2270	2774
450	2275	2769
451	2280	2764
452	2285	2759
453	2290	2754
454	2294	2748
455	2299	2743
456	2304	2737
457	2308	2731
458	2313	2726
459	2317	2720
460	2322	2715
461	2326	2709
462	2331	2704
463	2336	2699
464	2341	2693
465	2347	2689
466	2352	2684
467	2357	2680
468	2363	2676
469	2369	2671
470	2374	2666
471	2379	2661
472	2384	2657
473	2389	2651
474	2394	2646
475	2399	2641
476	2404	2635
477	2408	2630
478	2414	2625
479	2419	2620
480	2423	2615
481	2429	2611
482	2434	2605
483	2439	2600
484	2444	2595
485	2449	2590
486	2453	2584
487	2459	2580
488	2464	2575
489	2469	2569
490	2474	2565
491	2480	2561
492	2485	2556
493	2489	2550
494	2495	2545
495	2500	2540
496	2505	2535
497	2510	2530
498	2515	2525
499	2519	2519
500	2524	2514
501	2530	2509
502	2534	2504
503	2540	2499
504	2545	2494
505	2550	2489
506	2554	2484
507	2559	2479
508	2564	2473
509	2569	2468
510	2574	2463
511	2579	2458
512	2584	2453
513	2588	2447
514	2593	2442
515	2598	2437
516	2603	2431
517	2608	2426
518	2612	2421
519	2616	2415
520	2621	2410
521	2626	2404
522	2630	2399
523	2635	2393
524	2641	2389
525	2645	2384
526	2650	2379
527	2656	2374
528	2661	2369
529	2666	2364
530	2671	2359
531	2676	2354
532	2681	2349
533	2685	2343
534	2690	2338
535	2694	2332
536	2699	2327
537	2704	2322
538	2709	2317
539	2713	2311
540	2718	2306
541	2723	2301
542	2728	2296
543	2732	2290
544	2737	2285
545	2741	2279
546	2746	2274
547	2750	2268
548	2755	2263
549	2759	2257
550	2764	2252
551	2769	2247
552	2774	2242
553	2779	2237
554	2784	2232
555	2789	2227
556	2793	2221
557	2798	2216
558	2803	2211
559	2808	2206
560	2813	2201
561	2818	2196
562	2823	2191
563	2828	2186
564	2833	2181
565	2838	2176
566	2842	2170
567	2847	2165
568	2851	2160
569	2856	2154
570	2860	2149
571	2865	2143
572	2870	2138
573	2874	2133
574	2878	2127
575	2883	2122
576	2887	2117
577	2892	2111
578	2897	2106
579	2903	2102
580	2908	2097
581	2914	2093
582	2919	2088
583	2923	2082
584	2929	2078
585	2934	2073
586	2939	2068
587	2944	2063
588	2950	2058
589	2955	2053
590	2960	2048
591	2965	2043
592	2970	2038
593	2975	2033
594	2980	2028
595	2984	2023
596	2989	2017
597	2993	2012
598	2998	2007
599	3002	2001
600	3008	1997
601	3014	1993
602	3019	1988
603	3025	1983
604	3031	1978
605	3035	1973
606	3041	1968
607	3046	1964
608	3052	1959
609	3057	1954
610	3062	1949
611	3067	1944
612	3071	1939
613	3077	1934
614	3082	1929
615	3087	1924
616	3091	1919
617	3096	1913
618	3100	1908
619	3105	1903
620	3110	1898
621	3115	1893
622	3120	1888
623	3125	1883
624	3129	1877
625	3134	1872
626	3138	1867
627	3143	1862
628	3148	1857
629	3153	1852
630	3158	1847
631	3163	1841
632	3168	1837
633	3174	1832
634	3179	1827
635	3183	1822
636	3188	1817
637	3193	1811
638	3198	1806
639	3203	1801
640	3208	1796
641	3212	1791
642	3217	1786
643	3222	1781
644	3227	1776
645	3232	1771
646	3237	1766
647	3242	1761
648	3247	1756
649	3252	1751
650	3257	1746
651	3261	1740
652	3266	1735
653	3271	1730
654	3275	1725
655	3280	1720
656	3285	1715
657	3290	1710
658	3295	1705
659	3300	1700
660	3306	1695
661	3314	1692
662	3320	1687
663	3329	1684
664	3337	1681
665	3345	1677
666	3353	1674
667	3360	1670
668	3366	1665
669	3371	1660
670	3379	1657
671	3387	1653
672	3393	1648
673	3398	1643
674	3403	1638
675	3407	1633
676	3413	1628
677	3417	1623
678	3422	1617
679	3427	1612
680	3433	1608
681	3438	1603
682	3443	1598
683	3449	1593
684	3453	1588
685	3458	1583
686	3463	1578
687	3468	1572
688	3472	1567
689	3478	1562
690	3482	1557
691	3487	1552
692	3493	1547
693	3498	1542
694	3503	1537
695	3508	1532
696	3513	1527
697	3517	1522
698	3522	1516
699	3527	1511
700	3532	1506
701	3537	1501
702	3542	1496
703	3546	1491
704	3551	1485
705	3555	1480
706	3562	1476
707	3567	1471
708	3573	1466
709	3578	1461
710	3582	1456
711	3587	1450
712	3592	1446
713	3597	1441
714	3602	1435
715	3607	1430
716	3612	1425
717	3617	1420
718	3622	1415
719	3627	1410
720	3632	1405
721	3638	1400
722	3643	1395
723	3647	1390
724	3652	1385
725	3657	1380
726	3662	1375
727	3666	1369
728	3671	1364
729	3676	1359
730	3681	1354
731	3686	1349
732	3692	1344
733	3697	1340
734	3704	1335
735	3710	1330
736	3715	1325
737	3721	1321
738	3727	1316
739	3732	1311
740	3737	1306
741	3743	1301
742	3749	1296
743	3754	1291
744	3759	1286
745	3764	1281
746	3771	1277
747	3776	1272
748	3781	1267
749	3787	1262
750	3791	1257
751	3796	1252
752	3801	1247
753	3807	1242
754	3812	1237
755	3818	1232
756	3823	1227
757	3830	1222
758	3836	1218
759	3842	1213
760	3847	1208
761	3853	1203
762	3858	1198
763	3863	1193
764	3869	1188
765	3873	1183
766	3880	1178
767	3886	1174
768	3892	1169
769	3898	1164
770	3903	1159
771	3908	1154
772	3913	1149
773	3918	1144
774	3924	1139
775	3929	1134
776	3934	1129
777	3939	1124
778	3943	1118
779	3948	1113
780	3953	1108
781	3957	1103
782	3963	1098
783	3968	1093
784	3973	1088
785	3978	1083
786	3983	1078
787	3987	1072
788	3992	1067
789	3997	1062
790	4002	1057
791	4007	1052
792	4013	1047
793	4018	1042
794	4023	1037
795	4028	1032
796	4032	1027
797	4037	1022
798	4042	1016
799	4047	1011
800	4053	1006
801	4058	1001
802	4062	996
803	4067	991
804	4071	986
805	4076	981
806	4081	976
807	4085	970
808	4090	965
809	4095	960
810	4100	955
811	4105	950
812	4110	945
813	4114	940
814	4119	935
815	4124	929
816	4129	924
817	4133	919
818	4138	914
819	4143	909
820	4148	904
821	4153	899
822	4158	894
823	4162	889
824	4166	883
825	4172	878
826	4177	873
827	4182	868
828	4187	863
829	4193	858
830	4197	853
831	4203	848
832	4209	843
833	4214	838
834	4219	833
835	4225	828
836	4230	823
837	4235	818
838	4240	813
839	4245	808
840	4250	803
841	4256	798
842	4260	793
843	4265	788
844	4271	783
845	4275	778
846	4279	773
847	4284	768
848	4289	762
849	4293	757
850	4298	752
851	4302	747
852	4307	742
853	4311	737
854	4316	732
855	4321	727
856	4326	721
857	4330	716
858	4336	711
859	4340	706
860	4345	701
861	4350	696
862	4356	691
863	4361	686
864	4367	681
865	4372	676
866	4377	671
867	4382	666
868	4387	661
869	4391	656
870	4396	651
871	4401	646
872	4406	640
873	4410	635
874	4415	630
875	4420	625
876	4425	620
877	4431	615
878	4436	610
879	4441	605
880	4446	600
881	4451	595
882	4455	590
883	4460	585
884	4465	580
885	4470	575
886	4474	570
887	4479	565
888	4484	559
889	4489	554
890	4493	549
891	4499	544
892	4503	539
893	4508	534
894	4513	529
895	4518	524
896	4522	519
897	4527	514
898	4533	509
899	4537	504
900	4542	499
901	4548	494
902	4553	489
903	4557	483
904	4562	478
905	4566	473
906	4570	468
907	4576	463
908	4581	458
909	4586	453
910	4591	448
911	4596	443
912	4601	438
913	4606	433
914	4611	428
915	4615	423
916	4619	418
917	4624	413
918	4629	408
919	4633	402
920	4639	397
921	4644	392
922	4649	387
923	4653	382
924	4658	377
925	4663	372
926	4667	367
927	4672	362
928	4677	357
929	4682	352
930	4686	347
931	4691	342
932	4696	337
933	4700	332
934	4705	327
935	4709	322
936	4714	316
937	4719	311
938	4724	306
939	4729	301
940	4733	296
941	4738	291
942	4743	286
943	4747	281
944	4753	276
945	4759	271
946	4764	266
947	4769	261
948	4774	256
949	4779	251
950	4784	246
951	4790	241
952	4794	236
953	4799	231
954	4806	226
955	4811	221
956	4816	216
957	4821	211
958	4826	206
959	4831	201
960	4836	196
961	4841	191
962	4846	186
963	4850	181
964	4855	176
965	4860	171
966	4865	166
967	4870	160
968	4874	155
969	4879	150
970	4884	145
971	4888	140
972	4893	135
973	4898	130
974	4903	125
975	4908	120
976	4913	115
977	4918	110
978	4923	105
979	4927	100
980	4932	95
981	4937	90
982	4942	85
983	4947	80
984	4952	75
985	4957	70
986	4962	65
987	4967	60
988	4972	55
989	4977	50
990	4982	45
991	4988	40
992	4993	35
993	4998	30
994	5003	25
995	5008	20
996	5013	15
997	5019	10
998	5023	5
999	5029	0
