iter	Logloss
0	0.6833036804
1	0.6740097809
2	0.6651881409
3	0.6567704773
4	0.6488006592
5	0.6411322784
6	0.6338741302
7	0.626996727
8	0.620434494
9	0.6142230988
10	0.6082939911
11	0.6026700592
12	0.5972490692
13	0.5921212006
14	0.5872437286
15	0.5826480865
16	0.578314743
17	0.5741358948
18	0.5701916504
19	0.5663633728
20	0.562707634
21	0.5592931747
22	0.5559510803
23	0.5528332138
24	0.5498644257
25	0.5470474243
26	0.5443482208
27	0.5418026733
28	0.5393689346
29	0.5370439911
30	0.5348683929
31	0.5327970123
32	0.5307979965
33	0.5289217377
34	0.5271261597
35	0.525426178
36	0.5238108063
37	0.5221985626
38	0.5206954575
39	0.5192562103
40	0.5179289627
41	0.5166631699
42	0.5154170609
43	0.5141919708
44	0.5130781174
45	0.5119743729
46	0.5109355164
47	0.5099459839
48	0.5090196609
49	0.5081529999
50	0.5072532272
51	0.5064535141
52	0.5056886292
53	0.5049659348
54	0.5042893219
55	0.5036499023
56	0.5030033875
57	0.5024049377
58	0.501835556
59	0.501296463
60	0.5007226563
61	0.5002305603
62	0.4997385406
63	0.4992532349
64	0.4988330841
65	0.4984200287
66	0.4979971695
67	0.4976346588
68	0.4972728729
69	0.4969180679
70	0.4965194702
71	0.4961860275
72	0.4958762741
73	0.4955895233
74	0.4953225708
75	0.4950296021
76	0.49477211
77	0.4945211411
78	0.4942970657
79	0.4940496826
80	0.4938116074
81	0.4936217117
82	0.4934318161
83	0.4932372665
84	0.4930515671
85	0.492881012
86	0.4927311707
87	0.4925280762
88	0.4923853683
89	0.4922454071
90	0.4921247864
91	0.4919941711
92	0.49186203
93	0.4917369843
94	0.4916188812
95	0.4914801788
96	0.4913474655
97	0.4912411499
98	0.4911188889
99	0.490994873
100	0.4908814621
101	0.4907693481
102	0.490681839
103	0.4905725861
104	0.4904886627
105	0.490386734
106	0.4903078461
107	0.4902129364
108	0.4901158524
109	0.4900098419
110	0.4899388123
111	0.4898499298
112	0.4897747803
113	0.4897182465
114	0.4896681213
115	0.489596405
116	0.4895106506
117	0.4894351196
118	0.4893653107
119	0.4892992783
120	0.4892426682
121	0.4891737747
122	0.4891023254
123	0.4890096283
124	0.4889587402
125	0.4888786316
126	0.4888035583
127	0.4887387466
128	0.4886945343
129	0.4886461258
130	0.4886006927
131	0.4885483551
132	0.4884660339
133	0.488393898
134	0.4883221054
135	0.4882656097
136	0.4882222748
137	0.4881821823
138	0.488125267
139	0.4880757523
140	0.4880110168
141	0.487972374
142	0.4879350281
143	0.4879031372
144	0.4878741455
145	0.4877916718
146	0.4877390289
147	0.4876992798
148	0.4876461029
149	0.4875862122
150	0.4875065994
151	0.4874639893
152	0.4874281693
153	0.4873986816
154	0.4873616028
155	0.4873154831
156	0.4872638702
157	0.487208519
158	0.487179184
159	0.4871247101
160	0.4870907593
161	0.4870473099
162	0.4869778442
163	0.4869453812
164	0.4869000244
165	0.4868531418
166	0.4867806244
167	0.4867327118
168	0.4867076874
169	0.4866708374
170	0.4866480255
171	0.486617012
172	0.4865763855
173	0.4865562439
174	0.4864876556
175	0.4864632034
176	0.4864440155
177	0.4863818359
178	0.4863609314
179	0.4863354874
180	0.4863021851
181	0.4862351227
182	0.4861959839
183	0.4861693192
184	0.4861435318
185	0.4861193085
186	0.486086998
187	0.4860445404
188	0.4860079193
189	0.4859865952
190	0.4859603882
191	0.4859175873
192	0.4858980942
193	0.485861702
194	0.4858084106
195	0.4857598114
196	0.4857026291
197	0.4856793594
198	0.4856430054
199	0.4856034088
200	0.4855916977
201	0.4855739212
202	0.4855576324
203	0.4855397034
204	0.4854991913
205	0.4854815292
206	0.4854525375
207	0.485437088
208	0.4853942871
209	0.4853760529
210	0.4853610229
211	0.4853392792
212	0.4853017044
213	0.4852859497
214	0.4852590561
215	0.4852075195
216	0.4851809692
217	0.485148201
218	0.4851361465
219	0.4851151276
220	0.4850911713
221	0.4850685501
222	0.4850196838
223	0.4849772644
224	0.4849320602
225	0.4849156952
226	0.4848753357
227	0.4848203659
228	0.4848090363
229	0.4847654724
230	0.4847324371
231	0.4847142029
232	0.4846901703
233	0.4846669769
234	0.4846418762
235	0.4846297455
236	0.4845965958
237	0.4845713043
238	0.4845244598
239	0.4845104218
240	0.4844975281
241	0.4844824219
242	0.4844542694
243	0.4844367981
244	0.4843898392
245	0.4843588257
246	0.4843220901
247	0.4842765808
248	0.484254303
249	0.4842227936
250	0.4841987991
251	0.4841767502
252	0.484161911
253	0.4841405487
254	0.484128952
255	0.4841156006
256	0.4840760422
257	0.4840556717
258	0.4840349579
259	0.4840105438
260	0.4839872742
261	0.4839424133
262	0.483926239
263	0.4839153671
264	0.4838673401
265	0.4838512421
266	0.4838204193
267	0.4838000107
268	0.483756485
269	0.4837314606
270	0.4836840057
271	0.4836624908
272	0.4836468506
273	0.4836280441
274	0.4836165237
275	0.4835879898
276	0.4835557556
277	0.4835118866
278	0.4834953308
279	0.4834744263
280	0.4834462738
281	0.4834215546
282	0.4833893585
283	0.4833672333
284	0.483311615
285	0.4832781601
286	0.4832634354
287	0.4832378387
288	0.4832037354
289	0.4831758881
290	0.4831537628
291	0.4831026459
292	0.4830511475
293	0.4830262375
294	0.4829698181
295	0.482959137
296	0.4829173279
297	0.4828996277
298	0.482873764
299	0.4828356552
300	0.4828032303
301	0.4827772522
302	0.4827442169
303	0.482717514
304	0.4826711655
305	0.4826582718
306	0.4826356506
307	0.4826287079
308	0.4826010513
309	0.4825819397
310	0.4825540543
311	0.4825363922
312	0.482509613
313	0.4824658966
314	0.4824521637
315	0.4823968124
316	0.4823868942
317	0.4823630524
318	0.4823070908
319	0.4822713852
320	0.4822416306
321	0.4822233582
322	0.4822172546
323	0.4821957779
324	0.4821626663
325	0.482145462
326	0.4820987701
327	0.4820810318
328	0.4820471191
329	0.4819989777
330	0.4819680405
331	0.4819522476
332	0.4819319153
333	0.48189785
334	0.4818874741
335	0.4818830872
336	0.4818722153
337	0.4818286896
338	0.4817816162
339	0.4817572784
340	0.4817319489
341	0.4816833878
342	0.4816435242
343	0.4815998077
344	0.4815442276
345	0.4815213013
346	0.4815047455
347	0.4814798737
348	0.4814539337
349	0.4814334106
350	0.4814144135
351	0.4813929749
352	0.4813278961
353	0.4812757111
354	0.481255188
355	0.4812243271
356	0.4811930084
357	0.4811800003
358	0.4811391449
359	0.4811250305
360	0.481105957
361	0.481051178
362	0.4810256958
363	0.4810005188
364	0.4809584045
365	0.4809272003
366	0.4808857727
367	0.4808505249
368	0.4808206177
369	0.4807889938
370	0.4807654953
371	0.4807383728
372	0.4806954193
373	0.4806577301
374	0.4806334686
375	0.4806085587
376	0.4805858994
377	0.4805566025
378	0.4805373383
379	0.4804975891
380	0.4804645157
381	0.4804187012
382	0.4803801727
383	0.4803450775
384	0.4803320313
385	0.4803239822
386	0.4802779007
387	0.4802025986
388	0.4801612473
389	0.4800927734
390	0.4800355148
391	0.4799686432
392	0.4799346924
393	0.4799045563
394	0.4798433685
395	0.479814949
396	0.4797835541
397	0.4797341156
398	0.479715271
399	0.4796859741
400	0.4796123505
401	0.4795806885
402	0.4795692444
403	0.4795516968
404	0.4795121765
405	0.4794947815
406	0.4794631958
407	0.4794064331
408	0.4793578339
409	0.479338913
410	0.4792938232
411	0.4792261124
412	0.4792103195
413	0.4791731644
414	0.4791449738
415	0.4791154099
416	0.4790968323
417	0.4790488052
418	0.4790086365
419	0.4789105225
420	0.4788645554
421	0.4788153076
422	0.4787177277
423	0.4786439133
424	0.4785665894
425	0.478483963
426	0.478414917
427	0.478362236
428	0.4783192062
429	0.478264389
430	0.4782015228
431	0.4781401825
432	0.4780664825
433	0.4780330658
434	0.4779581833
435	0.4779102707
436	0.4778066254
437	0.4777278519
438	0.4776621628
439	0.4776057053
440	0.4775518036
441	0.4774896622
442	0.4774575806
443	0.4774137497
444	0.4773406601
445	0.4772776794
446	0.4771873474
447	0.4771281052
448	0.4770788193
449	0.4770188904
450	0.4769639206
451	0.4769049835
452	0.4768034363
453	0.4767325974
454	0.4767005157
455	0.4766543579
456	0.4766036606
457	0.4765267181
458	0.4764823914
459	0.4764398956
460	0.4763301086
461	0.4762971497
462	0.4762356186
463	0.4761772537
464	0.476121788
465	0.4760449219
466	0.4759715652
467	0.4759161758
468	0.4758335114
469	0.4757730865
470	0.4757112503
471	0.47563797
472	0.475592804
473	0.4755034256
474	0.4754409027
475	0.4753820038
476	0.4753318024
477	0.4752573395
478	0.4752090454
479	0.4751467896
480	0.4750789642
481	0.4749953079
482	0.4749464035
483	0.4748820496
484	0.4748054123
485	0.4747833252
486	0.4747029877
487	0.4746064377
488	0.4745623779
489	0.4745114136
490	0.4744168091
491	0.4743764496
492	0.4743087006
493	0.4742490387
494	0.47419384
495	0.4741135788
496	0.4740359116
497	0.4739775848
498	0.4739030457
499	0.4738205719
500	0.4737538147
501	0.4736922073
502	0.4736318207
503	0.4735247421
504	0.4734406281
505	0.4733779144
506	0.4733000565
507	0.473235321
508	0.4731609344
509	0.4730940628
510	0.4730040741
511	0.4729478455
512	0.4728842163
513	0.4728246689
514	0.4727445602
515	0.4726619339
516	0.4726037216
517	0.4725533295
518	0.4724768829
519	0.4724034119
520	0.4723428345
521	0.472299118
522	0.4722401047
523	0.4721847534
524	0.4721463013
525	0.47209198
526	0.4720549774
527	0.4719984436
528	0.471946373
529	0.4718900681
530	0.4718232346
531	0.4717697144
532	0.4717144775
533	0.4716461945
534	0.4715912247
535	0.4715295792
536	0.4714730835
537	0.4714046097
538	0.4713235092
539	0.4712710571
540	0.4711933136
541	0.4711310577
542	0.4710608292
543	0.4709916687
544	0.4709477234
545	0.4708538818
546	0.4707492828
547	0.4706427002
548	0.4705380249
549	0.470478363
550	0.4704225159
551	0.4703555298
552	0.4702942276
553	0.4702636337
554	0.4701727676
555	0.470107193
556	0.4700601578
557	0.4699977112
558	0.4699430847
559	0.469896698
560	0.4698488617
561	0.4697747803
562	0.4697188568
563	0.4696762848
564	0.4696255875
